Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
3/3/25,30114.00,717.00,75.90,29321.10,6938.09,22383.01,76.34%,0.00
3/2/25,34300.00,729.00,41.00,33530.00,6641.46,26888.54,80.19%,0.00
3/1/25,25262.00,379.00,29.00,24854.00,5689.28,19164.72,77.11%,0.00
2/28/25,31422.00,514.00,98.90,30809.10,5976.31,24832.79,80.60%,0.00
2/27/25,29854.00,458.00,95.60,29300.40,5764.81,23535.59,80.33%,0.00
2/26/25,26469.00,459.00,14.00,25996.00,5179.22,20816.78,80.08%,0.00
2/25/25,21606.00,1795.00,24.00,19787.00,3176.54,16610.46,83.95%,0.00
2/24/25,21670.00,0.00,22.00,21648.00,4626.67,17021.33,78.63%,0.00
2/23/25,27583.00,878.00,67.00,26638.00,4030.03,22607.97,84.87%,0.00
2/22/25,29531.00,1417.00,125.90,27988.10,4690.98,23297.12,83.24%,0.00
2/21/25,18292.00,0.00,18.00,18274.00,3365.10,14908.90,81.59%,0.00
2/20/25,28591.00,0.00,92.80,28498.20,4182.80,24315.40,85.32%,0.00
2/19/25,24396.00,340.00,0.00,24056.00,4724.07,19331.93,80.36%,0.00
2/18/25,31537.00,0.00,41.00,31496.00,5760.53,25735.47,81.71%,0.00
2/17/25,29778.00,1396.00,40.00,28342.00,3561.69,24780.31,87.43%,0.00
2/16/25,24764.00,479.00,0.00,24285.00,5502.75,18782.25,77.34%,0.00
2/15/25,25549.00,140.00,0.00,25409.00,5387.04,20021.96,78.80%,0.00
2/14/25,35641.00,339.00,117.90,35184.10,6004.38,29179.72,82.93%,0.00
2/13/25,29393.00,0.00,0.00,29393.00,5542.57,23850.43,81.14%,0.00
2/12/25,25472.00,980.00,88.00,24404.00,5399.75,19004.25,77.87%,0.00
2/11/25,24455.00,430.00,0.00,24025.00,3877.54,20147.46,83.86%,0.00
2/10/25,21686.00,0.00,39.80,21646.20,3807.41,17838.79,82.41%,0.00
2/9/25,19969.00,0.00,64.90,19904.10,4399.34,15504.76,77.90%,0.00
2/8/25,29330.00,140.00,22.00,29168.00,6354.45,22813.55,78.21%,0.00
2/7/25,25908.00,905.00,0.00,25003.00,4935.68,20067.32,80.26%,0.00
2/6/25,26289.00,1267.00,0.00,25022.00,3660.18,21361.82,85.37%,0.00
2/5/25,20918.00,0.00,46.00,20872.00,4403.39,16468.61,78.90%,0.00
2/4/25,21328.00,448.00,126.90,20753.10,3711.56,17041.54,82.12%,0.00
2/3/25,23001.00,0.00,67.00,22934.00,3722.55,19211.45,83.77%,0.00
2/2/25,37600.00,1433.00,99.00,36068.00,6601.10,29466.90,81.70%,0.00
2/1/25,32658.00,0.00,144.00,32514.00,6916.21,25597.79,78.73%,0.00
1/31/25,28048.00,440.00,86.00,27522.00,4688.62,22833.38,82.96%,0.00
1/30/25,28430.00,0.00,56.90,28373.10,4817.27,23555.83,83.02%,0.00
1/29/25,27895.00,1119.00,63.80,26712.20,4690.73,22021.47,82.44%,0.00
1/28/25,23851.00,888.00,63.00,22900.00,4366.27,18533.73,80.93%,0.00
1/27/25,25234.00,1097.00,93.70,24043.30,4291.63,19751.67,82.15%,0.00
1/26/25,23130.00,0.00,53.90,23076.10,3876.21,19199.89,83.20%,0.00
1/25/25,21668.00,240.00,0.00,21428.00,3534.30,17893.70,83.51%,0.00
1/24/25,22129.00,339.00,57.80,21732.20,3368.48,18363.72,84.50%,0.00
1/23/25,26705.00,0.00,0.00,26705.00,4589.67,22115.33,82.81%,0.00
1/22/25,31724.00,937.00,132.90,30654.10,5312.00,25342.10,82.67%,0.00
1/21/25,34771.00,587.00,75.90,34108.10,6426.74,27681.36,81.16%,0.00
1/20/25,33304.00,0.00,0.00,33304.00,6044.27,27259.73,81.85%,0.00
1/19/25,26166.00,738.00,72.90,25355.10,4738.90,20616.20,81.31%,0.00
1/18/25,36889.00,629.00,303.50,35956.50,7659.34,28297.16,78.70%,0.00
1/17/25,30816.00,0.00,0.00,30816.00,7082.87,23733.13,77.02%,0.00
1/16/25,28185.00,0.00,276.50,27908.50,6888.48,21020.02,75.32%,0.00
1/15/25,24803.00,869.00,102.00,23832.00,3542.79,20289.21,85.13%,0.00
1/14/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/13/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/12/25,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
